Incident ID,Incident Date,State,City Or County,Address,# Victims Injured,# Victims Killed,# Subjects-Suspects Injured,# Subjects-Suspects Killed,# Subjects-Suspects Arrested,Operations
2095375,18-Aug-21,Colorado,Canon City,400 block of Water St,1,0,0,0,0,N/A
2094453,18-Aug-21,Kentucky,Lexington,400 block of Whispering Hills Dr,1,0,0,0,0,N/A
2095613,18-Aug-21,Wisconsin,Milwaukee,N/A,1,0,0,0,0,N/A
2094521,18-Aug-21,Illinois,Chicago,5500 block of S Shore Dr,1,0,0,0,0,N/A
2094283,18-Aug-21,Indiana,Frankfort,2298 IN-28,0,2,0,0,1,N/A
2094376,18-Aug-21,Tennessee,Nashville,331 Harding Pl,1,0,0,0,0,N/A
2095281,18-Aug-21,Louisiana,New Iberia,1000 block of Anderson St,0,1,0,0,0,N/A
2094232,18-Aug-21,South Carolina,Orangeburg,601 Bruin Dr,3,0,0,0,1,N/A
2096120,18-Aug-21,California,Fairfield,Grande Circle,1,0,0,0,0,N/A
2095447,18-Aug-21,New York,Bronx,E 149th St and Concord Ave,0,1,0,0,1,N/A
2094386,18-Aug-21,Virginia,Richmond,E 11th St,1,0,0,0,0,N/A
2094226,18-Aug-21,District of Columbia,Washington,3700 block of 1st St SE,0,1,0,0,1,N/A
2095240,18-Aug-21,Louisiana,Vinton,N/A,1,0,0,0,2,N/A
2094762,18-Aug-21,Illinois,Chicago,7600 block of S Honore St,1,0,0,0,0,N/A
2093880,18-Aug-21,Arizona,Maricopa,Honeycutt Rd and N Rancho Mirage Blvd,0,2,0,0,1,N/A
2094685,18-Aug-21,West Virginia,Wilsondale,1292 Turkey Creek Rd,1,0,0,0,1,N/A
2096208,18-Aug-21,Ohio,Lorain,2300 block of Apple Ave,0,1,0,0,1,N/A
2094434,18-Aug-21,Colorado,Boulder,1800 block of Yarmouth Ave,0,0,0,0,0,N/A
2095498,18-Aug-21,Louisiana,Baker,1320 Alabama St,1,0,0,0,1,N/A
2094765,18-Aug-21,Illinois,Chicago,I-90/94,1,0,0,0,0,N/A
2100535,18-Aug-21,Alabama,Anniston,1800 block of Moore Ave,2,1,0,0,2,N/A
2099159,18-Aug-21,Alabama,Decatur,2800 block of McDonald Court SW,0,1,0,0,1,N/A
2094421,18-Aug-21,Maryland,Germantown,19575 Scenery Dr,3,1,0,0,1,N/A
2094222,18-Aug-21,District of Columbia,Washington,100 block of L St NW,0,1,0,0,0,N/A
2094891,18-Aug-21,Texas,Dallas,1200 block of Diceman Ave,0,0,0,1,0,N/A
2094401,18-Aug-21,Virginia,Chesapeake,4000 block of Woodland Dr,0,0,0,0,1,N/A
2094397,18-Aug-21,South Carolina,Lyman,Grover Dr,0,1,0,0,0,N/A
