Incident ID,Incident Date,State,City Or County,Address,# Victims Injured,# Victims Killed,# Subjects-Suspects Injured,# Subjects-Suspects Killed,# Subjects-Suspects Arrested,Operations
2044439,23-Jun-21,Texas,San Antonio,I-35 and SW Military Dr,1,1,0,0,0,N/A
2045328,23-Jun-21,North Carolina,Mount Airy,N/A,2,0,0,0,0,N/A
2044662,23-Jun-21,Louisiana,Plaquemine,W W Harleaux St and Bourgoyne St,0,1,0,0,0,N/A
2043940,23-Jun-21,Arizona,Surprise,Loop 303 and US-60,0,0,0,1,0,N/A
2043214,23-Jun-21,Illinois,Chicago,3800 block of S Wentworth Ave,2,1,0,0,0,N/A
2043570,23-Jun-21,Florida,Orlando,1000 block of S Parramore Ave,3,0,0,0,0,N/A
2050326,23-Jun-21,California,Lompoc,Airport Ave and D St,1,0,0,0,0,N/A
2043574,23-Jun-21,Florida,Daytona Beach,133 Kingston Ave,0,1,0,0,1,N/A
2043561,23-Jun-21,Iowa,Iowa City,1015 Cross Park Ave,2,0,0,0,0,N/A
2043824,23-Jun-21,Mississippi,Mc Cool,7693 Attala Road 2120,0,1,0,1,0,N/A
2043554,23-Jun-21,California,Los Angeles,5601 Wilshire Blvd,0,1,0,0,0,N/A
2043542,23-Jun-21,California,Norwalk,Piuma Ave and Alondra Blvd,0,0,0,1,0,N/A
2044665,23-Jun-21,Louisiana,Mansfield,900 block of Johnson St,1,0,0,0,0,N/A
2049365,23-Jun-21,Colorado,Fort Collins,3300 block of Red Mountain Dr,1,0,0,0,1,N/A
2043545,23-Jun-21,Tennessee,Nashville,7044 Charlotte Pike,0,0,0,0,1,N/A
2044045,23-Jun-21,Louisiana,New Orleans,3000 block of Louisa St,1,0,0,0,0,N/A
2044088,23-Jun-21,Louisiana,New Orleans,6700 block of Bundy Rd,0,1,0,0,0,N/A
2043517,23-Jun-21,Indiana,Indianapolis,6500 block of Tanner Dr,1,0,0,0,0,N/A
2045245,23-Jun-21,Louisiana,New Orleans,6600 block of Bellaire Dr,0,0,0,0,0,N/A
2043515,23-Jun-21,Texas,Houston,6000 W Sunforest Dr,1,0,0,0,0,N/A
2043506,23-Jun-21,Texas,Houston,11700 block of Westheimer Rd,0,1,0,0,0,N/A
2043503,23-Jun-21,Ohio,Warren,2200 block of Palmyra Rd,0,0,0,0,0,N/A
2043496,23-Jun-21,Illinois,Chicago,3800 block of W Adams St,1,0,0,0,0,N/A
2043803,23-Jun-21,Louisiana,Opelousas,1500 block of E Prudhomme St,0,1,0,0,1,N/A
2043461,23-Jun-21,Texas,Waco,3300 block of N 24th St,1,0,0,0,0,N/A
2043447,23-Jun-21,Oklahoma,Ada,W 19th St,1,0,0,0,1,N/A
2043331,23-Jun-21,Texas,League City,200 block of Highland Terrace,0,0,0,0,1,N/A
2067904,23-Jun-21,West Virginia,Hacker Valley,Cleveland Rd,0,0,0,0,1,N/A
2043413,23-Jun-21,Kentucky,Louisville,4300 block of Norbrook Dr,1,0,0,0,0,N/A
2043426,23-Jun-21,New York,Brooklyn,689 E 46th St,1,0,0,0,0,N/A
2043422,23-Jun-21,New York,Brooklyn,Belmont Ave and Hendrix St,1,0,0,0,0,N/A
2049299,23-Jun-21,Washington,Yakima,1300 block of Simpson Ln,1,0,0,0,0,N/A
2043417,23-Jun-21,Virginia,Norfolk,Park Ave and E Virginia Beach Blvd,0,0,0,0,0,N/A
2044309,23-Jun-21,California,Fremont,I-880,0,0,0,0,1,N/A
2044470,23-Jun-21,Georgia,Atlanta,509 Boulevard NE,0,1,0,0,0,N/A
2043411,23-Jun-21,Kentucky,Lexington,928 De Porres Ave,1,0,0,0,0,N/A
2043683,23-Jun-21,Texas,Austin,3811 E 12th St,0,1,0,0,1,N/A
2044141,23-Jun-21,Arkansas,Little Rock,4400 block of W 12th St,2,0,0,0,0,N/A
2044279,23-Jun-21,Mississippi,Columbus,22nd St and 15th Ave,0,1,0,0,1,N/A
2043393,23-Jun-21,Missouri,Columbia,300 block of Hirth Ave,0,0,0,0,0,N/A
2043386,23-Jun-21,Virginia,Henrico,9300 block of Silver Stream Ln,0,0,1,0,3,N/A
2043973,23-Jun-21,Nevada,Las Vegas,8900 block of Jaquita Ave,0,1,0,0,2,N/A
