submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
03/02/2021,North Dakota,100067,94735.0,5332.0,110,59.0,1448,,,1,0.0,03/03/2021 03:20:17 PM,Agree,Not agree
03/02/2021,Oklahoma,433922,343137.0,90785.0,484,112.0,6937,5903.0,1034.0,12,1.0,03/03/2021 12:00:00 AM,Agree,Agree
03/02/2021,Washington,340322,,,371,113.0,4988,,,19,0.0,03/02/2021 12:00:00 AM,,
03/02/2021,Arkansas,322949,,,440,215.0,5254,,,4,-4.0,03/03/2021 03:20:17 PM,Not agree,Not agree
03/02/2021,Alabama,495785,391665.0,104120.0,2666,342.0,10612,8488.0,2124.0,14,2.0,03/02/2021 12:00:00 AM,Agree,Agree
03/03/2021,Ohio,972605,832502.0,140103.0,2022,849.0,17189,17189.0,0.0,0,0.0,03/04/2021 03:08:33 PM,Agree,Agree
03/03/2021,Massachusetts,584743,553220.0,31523.0,1899,346.0,16333,16002.0,331.0,30,0.0,03/05/2021 12:00:00 AM,Agree,Agree
03/03/2021,Alabama,496841,392524.0,104317.0,1056,197.0,10623,8497.0,2126.0,11,2.0,03/03/2021 12:00:00 AM,Agree,Agree
03/03/2021,Colorado,440997,413569.0,27428.0,1154,168.0,5970,5235.0,735.0,11,-1.0,03/03/2021 12:00:00 AM,Agree,Agree
03/03/2021,Alaska,56696,,,173,0.0,326,,,0,0.0,03/03/2021 12:00:00 AM,,
03/03/2021,Utah,372708,372708.0,0.0,729,0.0,1955,1899.0,56.0,6,0.0,03/04/2021 03:08:33 PM,Agree,Agree
03/03/2021,South Dakota,112833,,,181,49.0,1893,1535.0,358.0,5,1.0,03/04/2021 03:08:33 PM,,Agree
03/03/2021,Texas,2663414,,,7822,1619.0,46753,,,115,0.0,03/05/2021 12:00:00 AM,Not agree,Not agree
03/03/2021,New York,927750,,,3389,0.0,18092,,,28,0.0,03/04/2021 03:08:33 PM,Not agree,Not agree
03/03/2021,Arkansas,323353,,,404,120.0,5261,,,7,0.0,03/04/2021 03:08:33 PM,Not agree,Not agree
03/03/2021,Pennsylvania,944543,811389.0,133154.0,2504,674.0,24169,,,69,-88.0,03/03/2021 12:00:00 AM,Agree,Not agree
03/03/2021,West Virginia,132416,105833.0,26583.0,232,-8.0,2309,,,8,1.0,03/04/2021 03:08:33 PM,Agree,Not agree
03/03/2021,Nevada,294684,294684.0,0.0,395,0.0,4987,,,20,0.0,03/04/2021 03:08:33 PM,Agree,
03/03/2021,South Carolina,526752,449188.0,77564.0,957,358.0,8591,,,25,7.0,03/03/2021 12:00:00 AM,Agree,Not agree
03/03/2021,Rhode Island,120995,,,391,0.0,2527,,,9,0.0,03/03/2021 12:00:00 AM,Not agree,
03/03/2021,New Hampshire,75990,,,187,60.0,1175,,,5,1.0,03/04/2021 03:08:33 PM,Not agree,Not agree
03/03/2021,Oregon,156287,154567.0,1720.0,250,0.0,2252,2237.0,15.0,27,0.0,03/04/2021 03:08:33 PM,Agree,Agree
03/03/2021,North Carolina,857385,752251.0,105134.0,2151,556.0,12386,10953.0,1433.0,21,4.0,03/03/2021 12:00:00 AM,Agree,Agree
03/03/2021,Kentucky,411599,313883.0,97716.0,926,375.0,7071,6283.0,788.0,10,0.0,03/03/2021 12:00:00 AM,Agree,Agree
03/03/2021,Louisiana,431771,,,500,197.0,9668,8973.0,695.0,21,5.0,03/04/2021 03:08:33 PM,Not agree,Agree
03/03/2021,Connecticut,283622,264198.0,19424.0,494,172.0,7678,6306.0,1372.0,20,1.0,03/04/2021 03:08:33 PM,Agree,Agree
03/03/2021,Illinois,1191520,1191520.0,0.0,2104,0.0,22853,20626.0,2227.0,50,7.0,03/04/2021 03:08:33 PM,Agree,Agree
03/03/2021,Maine,45042,35520.0,9522.0,192,81.0,705,682.0,23.0,0,0.0,03/05/2021 12:00:00 AM,Agree,Agree
03/03/2021,Minnesota,486434,,,779,146.0,6575,6235.0,340.0,17,1.0,03/04/2021 03:08:33 PM,,Agree
03/03/2021,New Jersey,799476,710046.0,89430.0,3691,744.0,23449,21052.0,2397.0,128,66.0,03/04/2021 03:08:33 PM,Agree,Agree
03/03/2021,Wyoming,54616,46268.0,8348.0,89,11.0,682,682.0,0.0,0,0.0,03/04/2021 03:08:33 PM,Agree,Agree
03/03/2021,Idaho,172288,139667.0,32621.0,452,107.0,1876,1649.0,227.0,5,1.0,03/04/2021 03:08:33 PM,Agree,Agree
03/03/2021,Delaware,87947,83620.0,4327.0,247,20.0,1639,1490.0,149.0,3,0.0,03/05/2021 12:00:00 AM,Agree,Agree
03/03/2021,California,3484963,3484963.0,0.0,3352,0.0,52429,52429.0,0.0,300,0.0,03/05/2021 12:00:00 AM,Agree,Agree
