Incident ID,Incident Date,State,City Or County,Address,# Victims Injured,# Victims Killed,# Subjects-Suspects Injured,# Subjects-Suspects Killed,# Subjects-Suspects Arrested,Operations
2017648,23-May-21,Tennessee,Knoxville,7300 block of Antoinette Way,0,0,0,0,1,N/A
2014371,23-May-21,Texas,Missouri City,8623 Quail Burg Ln,1,0,0,0,0,N/A
2013445,23-May-21,Missouri,Independence,100 block of Huttig Ave,0,2,0,0,1,N/A
2014502,23-May-21,Iowa,Davenport,7202 Hillandale Rd,1,0,0,0,1,N/A
2014423,23-May-21,Ohio,Cleveland,E 30th St and Carnegie Ave,1,0,0,0,0,N/A
2014415,23-May-21,Ohio,Lorain,5003 Oberlin Ave,1,1,0,0,0,N/A
2014411,23-May-21,California,Palo Alto (East Palo Alto),1800 block of Woodland Ave,0,1,0,0,0,N/A
2016777,23-May-21,North Carolina,Salisbury,600 block of N Ellis St,0,0,0,0,1,N/A
2013250,23-May-21,Ohio,Lorain,201 E 29th St,0,0,0,1,0,N/A
2017892,23-May-21,Louisiana,Franklin,Magnolia St and Maple St,0,0,0,0,1,N/A
2014391,23-May-21,Texas,Houston,5300 Sonora St,2,0,0,0,0,N/A
2012942,23-May-21,Michigan,Detroit,20500 James Couzens Fwy,1,0,0,0,0,N/A
2014385,23-May-21,Maryland,Pasadena,New Freetown Rd and Whitaker Rd,1,0,0,0,0,N/A
2015501,23-May-21,Missouri,Saint Louis,N Tucker Blvd and Washington Ave,1,0,0,0,1,N/A
2014222,23-May-21,Virginia,Richmond,2100 block of Fairfield Ave,0,1,0,0,0,N/A
2013451,23-May-21,Missouri,Saint Louis,4300 block of California Ave,0,1,0,0,0,N/A
2018311,23-May-21,Texas,Waller,1600 block of Bowler Rd,1,1,0,0,1,N/A
2013419,23-May-21,New York,Bronx,E 169th St and Park Ave,1,0,0,0,0,N/A
2015487,23-May-21,Missouri,Marshall,100 block of S Lafayette Ave,1,0,0,0,2,N/A
2013417,23-May-21,New York,Bronx,W Kingsbridge Rd and University Ave,1,0,0,0,0,N/A
2015478,23-May-21,Arkansas,Little Rock,2500 block of Pine St,1,0,0,0,1,N/A
2013415,23-May-21,New York,Brooklyn,612 Bainbridge St,1,0,0,0,0,N/A
2014359,23-May-21,Tennessee,Memphis,Beale St,1,0,0,0,0,N/A
2013402,23-May-21,Virginia,Richmond,5700 block of Westover Village Dr,0,0,0,0,0,N/A
2013294,23-May-21,Ohio,Cincinnati (Groesbeck),Ashhollow Dr and Ashhill Ct,1,0,0,0,1,N/A
2014616,23-May-21,New Jersey,Bridgewater,I-287 and Chimney Rock Rd,1,0,0,0,3,N/A
2339314,23-May-21,Virginia,Parrott,8200 Parrott River Rd,0,1,0,0,1,N/A
2020352,23-May-21,New Mexico,Roswell,300 block of Wildy St,0,0,0,0,0,N/A
2013363,23-May-21,Maryland,Baltimore,2600 block of Huron St,1,0,0,0,0,N/A
2014331,23-May-21,California,Fortuna,1300 block of Ronald Ave,1,0,0,0,1,N/A
2014238,23-May-21,West Virginia,Parkersburg,2503 Beverly St,0,0,0,1,0,N/A
2014120,23-May-21,Tennessee,Knoxville,513 Arthur St,1,0,0,0,0,N/A
2014478,23-May-21,Colorado,Aurora,Lansing St and Highline Dr,1,0,0,0,1,N/A
2014310,23-May-21,Alabama,Eufaula,500 block of S Eufaula Ave,2,0,0,0,0,N/A
2014167,23-May-21,Tennessee,Mount Juliet,100 block of N Mt Juliet Rd,0,0,0,0,1,N/A
2016592,23-May-21,Illinois,Dolton,14500 block of Irving Ave,0,1,0,0,0,N/A
2012723,23-May-21,Illinois,Park Forest,300 block of Artist Walk,4,0,0,0,0,N/A
2013257,23-May-21,Colorado,Denver,1900 block of Blake St,1,0,0,0,0,N/A
2012971,23-May-21,Illinois,Chicago,3344 W Ohio St,4,0,0,0,0,N/A
2013263,23-May-21,Colorado,Denver,5100 block of E Donald Ave,1,0,0,0,0,N/A
2013259,23-May-21,Florida,Miami,NW 61st St and NW 31st Ave,2,1,0,0,0,N/A
2013253,23-May-21,Colorado,Aurora,14000 block of E Vassar Dr,1,0,0,0,0,N/A
2014263,23-May-21,Alaska,Nikiski,Rambling Rd,0,0,0,0,1,N/A
2014261,23-May-21,North Carolina,Durham,2700 block of N Roxboro St,1,0,0,0,0,N/A
2014256,23-May-21,North Carolina,Durham,Angier Ave and S Guthrie Ave,1,0,0,0,0,N/A
2018646,23-May-21,Indiana,Indianapolis,2500 block of Paris Ave,1,0,0,0,0,N/A
2013222,23-May-21,New York,Rochester,Pardee St,1,0,0,0,0,N/A
2015257,23-May-21,Louisiana,Thibodaux,500 block of St Mary St,1,0,0,0,0,N/A
2014246,23-May-21,Illinois,Rockford,Seminary St and Harrison Ave,0,1,0,0,0,N/A
2013216,23-May-21,Ohio,Cincinnati,2634 Short Vine St,1,0,0,0,0,N/A
2013210,23-May-21,Ohio,Columbus,3690 block of Arnelle Rd,0,0,0,0,0,N/A
2014052,23-May-21,South Carolina,Charleston,8484 Dorchester Rd,0,1,0,0,2,N/A
2013192,23-May-21,Arizona,Phoenix,N 91st Ave and Camelback Rd,1,0,0,0,1,N/A
2013375,23-May-21,Maryland,Baltimore,1500 block of Carswell St,1,1,0,0,1,N/A
2013440,23-May-21,Louisiana,Baton Rouge,2200 block of Kaufman St,0,1,0,0,0,N/A
2014180,23-May-21,Arizona,Tucson,1060 N Swan Rd,0,0,0,0,0,N/A
2013155,23-May-21,New York,Kingston,Wilbur Ave and Dunn St,0,0,0,0,0,N/A
