Incident ID,Incident Date,State,City Or County,Address,# Victims Injured,# Victims Killed,# Subjects-Suspects Injured,# Subjects-Suspects Killed,# Subjects-Suspects Arrested,Operations
2024214,3-Jun-21,Kentucky,Verona,2827 Verona Mudlick Rd,0,1,0,0,1,N/A
2024200,3-Jun-21,New York,Staten Island,Jersey St and Scribner Ave,1,0,0,0,0,N/A
2024196,3-Jun-21,Kentucky,Louisville,2600 block of Wyandotte Ave,2,0,0,0,0,N/A
2024190,3-Jun-21,California,Merced,N/A,1,0,0,0,0,N/A
2024186,3-Jun-21,Missouri,Springfield,1500 block of S Golden Ave,0,0,0,0,1,N/A
2024738,3-Jun-21,Texas,Houston,6603 Hirsch Rd,1,0,0,0,0,N/A
2024086,3-Jun-21,Arkansas,Little Rock,16th St and Johnson St,1,0,0,0,0,N/A
2027937,3-Jun-21,Louisiana,New Orleans,1600 block of Burbank Dr,0,0,0,0,1,N/A
2025045,3-Jun-21,South Carolina,Cayce,I-77,1,0,0,0,0,N/A
2025009,3-Jun-21,Minnesota,Minneapolis,500 block of E Lake St,1,0,0,0,0,N/A
2024088,3-Jun-21,Florida,Daytona Beach,1233 S Atlantic Ave,0,0,0,0,0,N/A
2023989,3-Jun-21,Michigan,Galesburg,616 N 35th St,0,2,0,0,1,N/A
2024478,3-Jun-21,Texas,El Paso,3813 Johnson Ave,0,0,0,0,1,N/A
2024457,3-Jun-21,New York,Mastic Beach,Parkwood Dr,1,0,0,0,2,N/A
2023830,3-Jun-21,Maryland,Baltimore,1900 block of 20th St,0,1,0,0,1,N/A
2023719,3-Jun-21,Georgia,South Fulton,Flat Shoals Rd and El Caudillo Ct,0,1,0,0,0,N/A
2024343,3-Jun-21,Mississippi,Jackson,220 Edgewood Terrace Dr,0,1,0,0,1,N/A
2023655,3-Jun-21,Alabama,Harvest,230 Lockhart Rd,1,1,0,0,0,N/A
2024969,3-Jun-21,Virginia,Fredericksburg,3300 block of Fall Hill Ave,0,1,1,0,1,N/A
2024066,3-Jun-21,Florida,Orlando,5316 Millenia Blvd,0,1,0,0,0,N/A
2024063,3-Jun-21,New Jersey,Newark,Fairmount Ave and Springfield Ave,1,0,0,0,0,N/A
2024059,3-Jun-21,New Jersey,Trenton,Hudson St and Hamilton Ave,1,0,0,0,0,N/A
2024043,3-Jun-21,Alabama,Birmingham,4700 block of Ter R,2,0,0,0,1,N/A
2024038,3-Jun-21,Florida,Fort Lauderdale (Lauderdale Lakes),3399 FL-7,0,0,0,0,0,N/A
2024033,3-Jun-21,Florida,Miami (North Miami),NW 7th Ave and NW 128th St,0,0,0,0,0,N/A
2023813,3-Jun-21,New York,Bronx,W 165th St and Woodycrest Ave,0,1,0,0,1,N/A
2024910,3-Jun-21,Georgia,Temple,10100 Block of Buchanan Hwy,0,0,0,1,0,N/A
2024943,3-Jun-21,Michigan,Clinton Township,17673 Kingsbrooke Cir,0,0,0,0,0,N/A
2024018,3-Jun-21,Minnesota,Minneapolis,400 block of 36th Ave N,1,0,0,0,0,N/A
2024012,3-Jun-21,New York,Niagara Falls,300 block of 14th St,1,0,0,0,0,N/A
2024006,3-Jun-21,New York,Rochester,129 6th St,1,0,0,0,0,N/A
2024906,3-Jun-21,Michigan,Flint,1500 block of Wyoming Ave,1,0,0,0,0,N/A
2024895,3-Jun-21,Georgia,Atlanta,901 Joseph E Boone Blvd NW,1,0,0,0,0,N/A
2024696,3-Jun-21,Texas,El Paso,12409 Nina Pearl Dr,1,0,0,0,2,N/A
2024806,3-Jun-21,Tennessee,Memphis,Sweet Springs Dr,1,0,0,0,0,N/A
2024352,3-Jun-21,North Carolina,Fayetteville,600 block of Banner Elk Dr,0,1,0,0,1,N/A
2023708,3-Jun-21,Kentucky,Hopkinsville,S Vine St,0,0,0,1,0,N/A
2024859,3-Jun-21,Tennessee,Memphis,4243 Graceland Dr,0,0,0,0,0,N/A
2024076,3-Jun-21,Florida,Tallahassee,2833 S Adams St,1,0,0,0,0,N/A
2028829,3-Jun-21,Georgia,Marietta,Polk St and Locust St,0,0,0,0,1,N/A
2024804,3-Jun-21,Texas,Houston,6600 block of Weston St,1,0,0,0,0,N/A
2024794,3-Jun-21,Texas,Wichita Falls,Sunnyside Ln,0,0,0,0,1,N/A
2024782,3-Jun-21,Texas,Mesquite,2063 Town East Mall,0,0,0,0,0,N/A
2025709,3-Jun-21,Tennessee,Memphis,8th Rd,0,1,0,0,0,N/A
2023474,3-Jun-21,Illinois,Chicago,500 block of N Wabash Ave,1,0,0,0,0,N/A
2025681,3-Jun-21,Minnesota,Saint Cloud,4300 block of Cooper Ave S,0,1,0,0,2,N/A
2024466,3-Jun-21,Kentucky,Bowling Green,700 block of Glen Lily Rd,0,1,0,0,1,N/A
2031688,3-Jun-21,California,Hemet,849 W Florida Ave,1,0,0,0,0,N/A
2023809,3-Jun-21,New York,Brooklyn,666 Broadway,2,0,0,1,0,N/A
2026623,3-Jun-21,Alaska,Wasilla,N/A,1,0,0,0,0,N/A
2025533,3-Jun-21,Maryland,Hagerstown,50 block of E Baltimore St,0,0,0,0,1,N/A
2023828,3-Jun-21,Maryland,Baltimore,2200 block of Booth St,1,0,0,0,0,N/A
2023823,3-Jun-21,Maryland,Baltimore,4200 block of Erdman Ave,1,0,0,0,0,N/A
2028713,3-Jun-21,Michigan,Kalamazoo,W Frank St and N Church St,1,0,0,0,0,N/A
2024131,3-Jun-21,Missouri,Saint Louis,5800 block of Selber Ct,1,0,0,0,0,N/A
2024081,3-Jun-21,Louisiana,New Orleans,500 block of Dauphine St,0,0,0,1,0,N/A
2023288,3-Jun-21,Delaware,Wilmington,2400 block of N Market St,3,0,0,1,0,N/A
2025632,3-Jun-21,Missouri,Saint Louis (Wellston),6250 Page Ave,1,0,0,0,1,N/A
2024731,3-Jun-21,Florida,Saint Augustine (Saint Augustine Beach),1115 A1A Beach Blvd,0,0,0,0,1,N/A
2024550,3-Jun-21,California,Bakersfield,1700 block of N Chester Ave,1,0,0,0,0,N/A
2024624,3-Jun-21,California,Richmond (North Richmond),Kelsey St and Gertrude Ave,1,1,0,0,0,N/A
2023715,3-Jun-21,Kentucky,Georgetown,N Hamilton St and Main Ave,0,0,0,0,0,N/A
2023699,3-Jun-21,Georgia,Atlanta,2200 block of Perry Blvd,0,1,0,0,0,N/A
2024695,3-Jun-21,California,Santa Rosa,1160 Exeter Dr,0,0,0,0,0,N/A
2024683,3-Jun-21,California,Vallejo,1000 block of Caldwell Ave,3,0,0,0,0,N/A
2024144,3-Jun-21,California,San Jose,N San Pedro St and W Hedding Ave,0,1,0,0,2,N/A
2023676,3-Jun-21,Indiana,Gary,W 26th Ave and Washington St,1,0,0,0,0,N/A
2025504,3-Jun-21,New Mexico,Santa Fe,100 E San Francisco St,0,0,0,0,1,N/A
2023674,3-Jun-21,Arkansas,North Little Rock,N Locust St and E 19th St,1,0,0,0,0,N/A
2024649,3-Jun-21,Indiana,Gary,N/A,1,0,0,0,0,N/A
2023625,3-Jun-21,Indiana,South Bend,W Sample St and S Walnut St,1,0,0,0,0,N/A
2024618,3-Jun-21,Massachusetts,Boston,457 Blue Hill Ave,0,0,0,0,1,N/A
2032953,3-Jun-21,California,Meadow Vista,N/A,0,0,0,0,1,N/A
2023532,3-Jun-21,Texas,Austin,2015 E Riverside Dr,1,0,0,0,0,N/A
2024425,3-Jun-21,Texas,Fort Worth,3300 block of E Berry St,1,0,0,0,0,N/A
2023599,3-Jun-21,Ohio,Columbus,122 E Main St,0,0,0,1,0,N/A
2023615,3-Jun-21,Louisiana,Metairie,100 block of Houma Blvd,0,1,0,0,0,N/A
2024227,3-Jun-21,Nebraska,Omaha,Pinkney St and N 29th St,0,2,0,0,2,N/A
2027338,3-Jun-21,Texas,Cedar Hill,1700 block of Stewart St,0,1,0,0,1,N/A
2023611,3-Jun-21,Indiana,Indianapolis,Prospect St,1,0,0,0,0,N/A
2024595,3-Jun-21,Massachusetts,Pittsfield,266 Francis Ave,0,0,0,0,0,N/A
2023542,3-Jun-21,Indiana,Indianapolis,N/A,2,0,0,0,0,N/A
2023605,3-Jun-21,Louisiana,Belle Rose,LA-70,0,0,0,0,1,N/A
2024579,3-Jun-21,Maryland,Frederick,1000 block of Heather Ridge Dr,1,0,0,0,0,N/A
2024574,3-Jun-21,Delaware,Dover,900 block of Woodcrest Dr,1,0,0,0,0,N/A
2024565,3-Jun-21,Arkansas,Texarkana,1600 block of Walter St,3,0,0,0,0,N/A
2024564,3-Jun-21,District of Columbia,Washington,300 Indiana Ave,0,0,0,0,0,N/A
2024561,3-Jun-21,District of Columbia,Washington,1160 First St NE,1,0,0,0,0,N/A
2033344,3-Jun-21,Texas,El Paso,4364 Loma De Luna Dr,0,0,0,0,1,N/A
2024810,3-Jun-21,Tennessee,Memphis,800 E Eh Crump Blvd,1,0,0,0,0,N/A
2025431,3-Jun-21,Arizona,Casa Grande,700 E Rodeo Rd,1,0,0,1,0,N/A
2023581,3-Jun-21,California,Bakersfield,Rosedale Hwy and Gibson St,1,0,0,0,0,N/A
2024542,3-Jun-21,California,Pico Rivera,9200 block of Olympic Blvd,0,1,0,0,0,N/A
2027213,3-Jun-21,Pennsylvania,Philadelphia,5400 block of Lindbergh Blvd,1,0,0,0,0,N/A
2024741,3-Jun-21,Maine,Auburn,100 Mt Auburn Ave,1,0,0,0,2,N/A
2027208,3-Jun-21,Pennsylvania,Philadelphia,4300 block of M St,1,0,0,0,0,N/A
2027204,3-Jun-21,Pennsylvania,Philadelphia,3900 block of Priscilla St,1,0,0,0,0,N/A
2024523,3-Jun-21,Indiana,Gary,2200 block of Hendricks St,0,1,0,0,0,N/A
2024505,3-Jun-21,Indiana,Hobart,4575 W 37th Ave,0,0,0,0,0,N/A
2023569,3-Jun-21,Indiana,Indianapolis,1714 Wellington Ave,1,0,0,0,0,N/A
2023878,3-Jun-21,New York,Rochester,556 Norton St,2,0,0,0,1,N/A
2023547,3-Jun-21,California,Los Angeles,6224 S Figueroa St,1,1,0,0,0,N/A
2024498,3-Jun-21,Pennsylvania,Philadelphia,1800 block of Diamond St,1,0,0,0,0,N/A
2024496,3-Jun-21,Pennsylvania,Philadelphia,1700 block of N Newkirk St,1,0,0,0,0,N/A
2024492,3-Jun-21,Pennsylvania,Philadelphia,2700 block of Kensington Ave,1,0,0,0,0,N/A
2024490,3-Jun-21,Pennsylvania,Philadelphia,4100 block of N Broad St,1,0,0,0,0,N/A
2024487,3-Jun-21,Pennsylvania,Philadelphia,1800 block of N 54th St,2,0,0,0,0,N/A
2024485,3-Jun-21,Missouri,Kansas City,3201 Independence Ave,1,0,0,0,0,N/A
2029356,3-Jun-21,Arizona,Eloy,420 E 1st St,0,0,0,0,2,N/A
2024475,3-Jun-21,Connecticut,New Haven,Lilac St,2,0,0,0,0,N/A
2024462,3-Jun-21,Connecticut,Bridgeport,1000 block of Pembroke St,1,0,0,0,0,N/A
2024395,3-Jun-21,Washington,Seattle (Burien),120th St and 5th Ave,0,1,0,0,0,N/A
2024450,3-Jun-21,Arizona,Phoenix,Central Ave and Dobbins Rd,2,0,0,0,0,N/A
2025377,3-Jun-21,Oregon,Springfield,500 block of W Centennial Blvd,1,0,0,0,0,N/A
2024399,3-Jun-21,Oregon,Roseburg,2500 block of NE Stephens St,0,1,1,0,0,N/A
2038371,3-Jun-21,Arizona,Show Low (Linden),N/A,1,0,0,0,1,N/A
